Read	Written	Total_transferred	Mb/second	
22.31425	0.0	22.31425	380.825	
24.802	0.0	24.802	423.2625	
27.9885	0.0	27.9885	477.625	
28.62325	0.0	28.62325	488.4475	
29.03125	0.0	29.03125	495.345	
28.724	0.0	28.724	489.9825	
