Read	Written	Total_transferred	Mb/second	
6.382825	0.0	6.382825	108.9335	
13.012	0.0	13.012	222.07	
17.5855	0.0	17.5855	300.125	
20.5685	0.0	20.5685	351.0325	
23.33875	0.0	23.33875	398.31	
23.3675	0.0	23.3675	398.8025	
