Read	Written	Total_transferred	Mb/second	
6.30235	0.0	6.30235	107.55975	
12.632	0.0	12.632	215.5825	
16.6985	0.0	16.6985	284.9875	
20.052	0.0	20.052	342.2175	
23.0995	0.0	23.0995	394.23	
23.38075	0.0	23.38075	399.025	
